skill_level,tasks,path,occupation_code,occupation_name,National Shortage Rating
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advance Diploma or Diploma (ANZSCO Skill Level 2)In New Zealand:NZQF Diploma (ANZSCO Skill Level 2)At least three years of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:contributing to the planning and review of office services, and setting priorities and office service standardsallocating human resources, space and equipmentassigning work to and monitoring work performance of staffmanaging records and accounts of the practiceliaising with Professionals to coordinate practice business and to facilitate resolution of problemsensuring office equipment and supplies are maintainedensuring compliance with occupational health and safety regulationsensuring work complies with relevant government legislation, policies and procedurescoordinating personnel activities such as hiring, promotions, performance management, payroll, training and supervisionOccupations:512211 Health Practice Manager512299 Practice Managers nec512211 Health Practice ManagerOrganises and controls the functions and resources of a health practice such as administrative systems and practice personnel.Skill Level: 2Specialisations:Chiropractic Practice ManagerDental Practice ManagerMedical Practice ManagerPhysiotherapy Practice Manager512299 Practice Managers necThis occupation group covers Practice Managers not elsewhere classified.Skill Level: 2Occupations in this group include:Accounting Practice ManagerArchitectural Practice ManagerLegal Practice ManagerVeterinary Practice Manager","contributing to the planning and review of office services, and setting priorities and office service standards; allocating human resources, space and equipment; assigning work to and monitoring work performance of staff; managing records and accounts of the practice; liaising with Professionals to coordinate practice business and to facilitate resolution of problems; ensuring office equipment and supplies are maintained; ensuring compliance with occupational health and safety regulations; ensuring work complies with relevant government legislation, policies and procedures; coordinating personnel activities such as hiring, promotions, performance management, payroll, training and supervision",Clerical and Administrative Workers > Office Managers and Program Administrators > Office and Practice Managers > Practice Managers,5122,Practice Managers,No Shortage
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:liaising with other staff about a range of matters relating to the organisation's operationsdrafting and preparing documents such as briefing notes, memoranda and correspondencemaintaining appointment diaries and making travel arrangementsprocessing mail, filing correspondence and maintaining recordsanswering telephone calls and inquiriestaking and transcribing dictation of letters and other documents","liaising with other staff about a range of matters relating to the organisation's operations; drafting and preparing documents such as briefing notes, memoranda and correspondence; maintaining appointment diaries and making travel arrangements; processing mail, filing correspondence and maintaining records; answering telephone calls and inquiries; taking and transcribing dictation of letters and other documents",Clerical and Administrative Workers > Personal Assistants and Secretaries,52,Personal Assistants and Secretaries,
"Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:liaising with other staff about a range of matters relating to the organisation's operationsdrafting and preparing documents such as briefing notes, memoranda and correspondencemaintaining appointment diaries and making travel arrangementsprocessing mail, filing correspondence and maintaining recordsanswering telephone calls and inquiriestaking and transcribing dictation of letters and other documents","liaising with other staff about a range of matters relating to the organisation's operations; drafting and preparing documents such as briefing notes, memoranda and correspondence; maintaining appointment diaries and making travel arrangements; processing mail, filing correspondence and maintaining records; answering telephone calls and inquiries; taking and transcribing dictation of letters and other documents",Clerical and Administrative Workers > Personal Assistants and Secretaries,521,Personal Assistants and Secretaries,
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:liaising with other staff on matters relating to the organisation's operationsresearching and preparing reports, briefing notes, memoranda, correspondence and other routine documentsmaintaining confidential files and documentsattending meetings and acting as secretary as requiredmaintaining appointment diaries and making travel arrangementsprocessing incoming and outgoing mail, filing correspondence and maintaining recordsscreening telephone calls and answering inquiriestaking and transcribing dictation of letters and other documentsmay supervise other secretarial and clerical staffOccupation:521111 Personal Assistant521111 Personal AssistantPerforms liaison, coordination and organisational tasks in support of Managers and Professionals.Skill Level: 2","liaising with other staff on matters relating to the organisation's operations; researching and preparing reports, briefing notes, memoranda, correspondence and other routine documents; maintaining confidential files and documents; attending meetings and acting as secretary as required; maintaining appointment diaries and making travel arrangements; processing incoming and outgoing mail, filing correspondence and maintaining records; screening telephone calls and answering inquiries; taking and transcribing dictation of letters and other documents; may supervise other secretarial and clerical staff",Clerical and Administrative Workers > Personal Assistants and Secretaries > Personal Assistants,5211,Personal Assistants,No Shortage
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.","liaising with other staff to arrange meetings, and to gain and provide information; preparing reports, briefing notes and correspondence, and proofreading work for typographical and grammatical errors; maintaining appointment diaries and making travel arrangements; processing incoming and outgoing mail, filing correspondence and maintaining records; answering telephone calls, responding to inquiries and redirecting callers; taking and transcribing dictation of letters and other documents; greeting visitors, ascertaining nature of business and directing visitors to appropriate persons; may implement management decisions and maintain records of meetings; may handle bookkeeping and petty cash functions",Clerical and Administrative Workers > Personal Assistants and Secretaries > Secretaries,5212,Secretaries,No Shortage
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:receiving, sorting, opening, classifying, photocopying and filing informationentering text and data via keyboards for further processingretrieving and updating data in storage and keeping recordspreparing reports, letters and similar mattertranscribing information, and proofreading and correcting copy","receiving, sorting, opening, classifying, photocopying and filing information; entering text and data via keyboards for further processing; retrieving and updating data in storage and keeping records; preparing reports, letters and similar matter; transcribing information, and proofreading and correcting copy",Clerical and Administrative Workers > General Clerical Workers,53,General Clerical Workers,
"Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:recording, preparing, sorting, classifying and filing informationsorting, opening and sending mailphotocopying and faxing documentspreparing reports of a routine naturerecording issue of equipment to staffreceiving letters and telephone messagestranscribing information onto computers, and proofreading and correcting copymay provide customers with information about servicesmay perform receptionist duties","recording, preparing, sorting, classifying and filing information; sorting, opening and sending mail; photocopying and faxing documents; preparing reports of a routine nature; recording issue of equipment to staff; receiving letters and telephone messages; transcribing information onto computers, and proofreading and correcting copy; may provide customers with information about services; may perform receptionist duties",Clerical and Administrative Workers > General Clerical Workers > General Clerks,531,General Clerks,
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:recording, preparing, sorting, classifying and filing informationsorting, opening and sending mailphotocopying and faxing documentspreparing reports of a routine naturerecording issue of equipment to staffreceiving letters and telephone messagestranscribing information onto computers, and proofreading and correcting copymay provide customers with information about servicesmay perform receptionist dutiesOccupation:531111 General Clerk531111 General ClerkPerforms a range of clerical and administrative tasks.Skill Level: 4","recording, preparing, sorting, classifying and filing information; sorting, opening and sending mail; photocopying and faxing documents; preparing reports of a routine nature; recording issue of equipment to staff; receiving letters and telephone messages; transcribing information onto computers, and proofreading and correcting copy; may provide customers with information about services; may perform receptionist duties",Clerical and Administrative Workers > General Clerical Workers > General Clerks,5311,General Clerks,No Shortage
"Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:entering data and codes required to process informationretrieving, confirming and updating data in storage and keeping records of data inputtaking verbatim records of proceedings in rapid shorthand using computerised equipment and shorthand-writing machinestranscribing information recorded in shorthand and on sound recording equipment, and proofreading and correcting copyreading portions of transcripts during trials and other proceedings on request of Judges and other officialsreproducing the spoken word, environmental sounds and song lyrics as captions for television programming, and the deaf and hearing impairedpreparing reports, letters and similar material for publication and electronic transmissionsorting outgoing material and preparing documents for transmission","entering data and codes required to process information; retrieving, confirming and updating data in storage and keeping records of data input; taking verbatim records of proceedings in rapid shorthand using computerised equipment and shorthand-writing machines; transcribing information recorded in shorthand and on sound recording equipment, and proofreading and correcting copy; reading portions of transcripts during trials and other proceedings on request of Judges and other officials; reproducing the spoken word, environmental sounds and song lyrics as captions for television programming, and the deaf and hearing impaired; preparing reports, letters and similar material for publication and electronic transmission; sorting outgoing material and preparing documents for transmission",Clerical and Administrative Workers > General Clerical Workers > Keyboard Operators,532,Keyboard Operators,
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:entering data and codes required to process informationretrieving, confirming and updating data in storage and keeping records of data inputtaking verbatim records of proceedings in rapid shorthand using computerised equipment and shorthand-writing machinestranscribing information recorded in shorthand and on sound recording equipment, and proofreading and correcting copyreading portions of transcripts during trials and other proceedings on request of Judges and other officialsreproducing the spoken word, environmental sounds and song lyrics as captions for television programming, and the deaf and hearing impairedpreparing reports, letters and similar material for publication and electronic transmissionsorting outgoing material and preparing documents for transmissionOccupations:532111 Data Entry Operator532112 Machine Shorthand Reporter532113 Word Processing Operator532111 Data Entry OperatorAlternative Title:Data Processing OperatorOperates a keyboard to input and transfer data into a computer for storage, processing and transmission.Skill Level: 4532112 Machine Shorthand ReporterRecords and reproduces the spoken word in court and parliamentary proceedings, television programming and for the deaf and hearing impaired using handwritten shorthand, stenotype shorthand machines, computer-assisted transcription software and sound recording equipment.Skill Level: 4Specialisations:Braille TranscriberCourt ReporterHansard ReporterRealtime ReporterStenocaptioner532113 Word Processing OperatorAlternative Title:TypistOperates a computer to type, edit and generate a variety of documents and reports.Skill Level: 4","entering data and codes required to process information; retrieving, confirming and updating data in storage and keeping records of data input; taking verbatim records of proceedings in rapid shorthand using computerised equipment and shorthand-writing machines; transcribing information recorded in shorthand and on sound recording equipment, and proofreading and correcting copy; reading portions of transcripts during trials and other proceedings on request of Judges and other officials; reproducing the spoken word, environmental sounds and song lyrics as captions for television programming, and the deaf and hearing impaired; preparing reports, letters and similar material for publication and electronic transmission; sorting outgoing material and preparing documents for transmission",Clerical and Administrative Workers > General Clerical Workers > Keyboard Operators,5321,Keyboard Operators,No Shortage
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV, or at least three years of relevant experience (ANZSCO Skill Level 3); orAQF Certificate II or III, or at least one year of relevant experience (ANZSCO Skill Level 4)In New Zealand:NZQF Level 4 qualification, or at least three years of relevant experience (ANZSCO Skill Level 3); orNZQF Level 2 or 3 qualification, or at least one year of relevant experience (ANZSCO Skill Level 4)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:answering customer inquiries for information about the organisation and the goods and services it offersresolving customer complaints and problems with goods and services providedrecording information about inquiries and complaintsgreeting and welcoming visitors, and directing them to the appropriate personarranging and recording details of appointmentsanswering, connecting and transferring telephone calls","answering customer inquiries for information about the organisation and the goods and services it offers; resolving customer complaints and problems with goods and services provided; recording information about inquiries and complaints; greeting and welcoming visitors, and directing them to the appropriate person; arranging and recording details of appointments; answering, connecting and transferring telephone calls",Clerical and Administrative Workers > Inquiry Clerks and Receptionists,54,Inquiry Clerks and Receptionists,
"Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV, or at least three years of relevant experience (ANZSCO Skill Level 3); orAQF Certificate II or III, or at least one year of relevant experience (ANZSCO Skill Level 4)In New Zealand:NZQF Level 4 qualification, or at least three years of relevant experience (ANZSCO Skill Level 3); orNZQF Level 2 or 3 qualification, or at least one year of relevant experience (ANZSCO Skill Level 4)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:answering customer inquiries for information about goods and servicesresolving customer complaints and problems with goods and services providedrecording information about inquiries and complaintsreferring complex inquiries to supervisorsarranging the despatch of information kits and brochures",answering customer inquiries for information about goods and services; resolving customer complaints and problems with goods and services provided; recording information about inquiries and complaints; referring complex inquiries to supervisors; arranging the despatch of information kits and brochures,Clerical and Administrative Workers > Inquiry Clerks and Receptionists > Call or Contact Centre Information Clerks,541,Call or Contact Centre Information Clerks,
"Indicative Skill Level:The occupation Call or Contact Centre Team Leader has a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV (ANZSCO Skill Level 3)In New Zealand:NZQF Level 4 qualification (ANZSCO Skill Level 3)At least three years of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.The occupation Call or Contact Centre Operator has a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:answering incoming calls, emails and messages, and assisting customers with their specific inquiriesidentifying requirements and recording information into computer systemscoaching staff and assisting call centre operators to resolve problems and customer inquiriesdeveloping rosters and managing staff numbers to meet workflowslistening to calls conducted by call centre operators and providing performance feedbackmonitoring and timing callscreating further interest in goods and services by offering customers more information about goods and inviting customers to use services on offerupdating databases to reflect changes to the status of customers and prospective customersarranging the despatch of goods, information kits and brochures to customers and interested partiesundertaking clerical duties, such as faxing, and filling out paperwork, and liaising with other departments associated with completing the customer contactissuing invoices and receiving electronic payments for goods and services providedOccupations:541111 Call or Contact Centre Team Leader541112 Call or Contact Centre Operator541111 Call or Contact Centre Team LeaderAlternative Titles:Call Centre SupervisorContact Centre SupervisorOversees and determines work requirements, monitors telephone calls, coaches and allocates duties to Call or Contact Centre Operators.Skill Level: 3Specialisations:Call or Contact Centre CoachCall or Contact Centre Workforce Planner541112 Call or Contact Centre OperatorAnswers customer telephone, Internet and email inquiries about goods and services, and promotes the goods and services.Skill Level: 4","answering incoming calls, emails and messages, and assisting customers with their specific inquiries; identifying requirements and recording information into computer systems; coaching staff and assisting call centre operators to resolve problems and customer inquiries; developing rosters and managing staff numbers to meet workflows; listening to calls conducted by call centre operators and providing performance feedback; monitoring and timing calls; creating further interest in goods and services by offering customers more information about goods and inviting customers to use services on offer; updating databases to reflect changes to the status of customers and prospective customers; arranging the despatch of goods, information kits and brochures to customers and interested parties; undertaking clerical duties, such as faxing, and filling out paperwork, and liaising with other departments associated with completing the customer contact; issuing invoices and receiving electronic payments for goods and services provided",Clerical and Administrative Workers > Inquiry Clerks and Receptionists > Call or Contact Centre Information Clerks > Call or Contact Centre Workers,5411,Call or Contact Centre Workers,No Shortage
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:answering inquiries about goods and services, and providing information about their availability, location, price and related issuesresponding to inquiries about problems and providing advice, information and assistancerecording information about inquiries and complaintsreferring complex inquiries to team leaders or expert advisersissuing relevant forms, information kits and brochures to interested partiesaccessing and operating computer network systems and communication systems such as public address and paging systemsmay refer inquiries to other sourcesOccupation:541211 Information Officer541211 Information OfficerResponds to personal, written and telephone inquiries and complaints about the organisation's goods and services, provides information and refers people to other sources.Skill Level: 4","answering inquiries about goods and services, and providing information about their availability, location, price and related issues; responding to inquiries about problems and providing advice, information and assistance; recording information about inquiries and complaints; referring complex inquiries to team leaders or expert advisers; issuing relevant forms, information kits and brochures to interested parties; accessing and operating computer network systems and communication systems such as public address and paging systems; may refer inquiries to other sources",Clerical and Administrative Workers > Inquiry Clerks and Receptionists > Call or Contact Centre Information Clerks > Information Officers,5412,Information Officers,No Shortage
Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.,"greeting and welcoming visitors, and directing them to the appropriate person; arranging and recording details of appointments; answering inquiries and providing information on the goods, services and activities of the organisation; answering, connecting and transferring telephone calls; receiving and resolving complaints from clients and the public; receiving and distributing correspondence, facsimile messages and deliveries; maintaining the reception area; advising on and arranging reservations and accommodation; may perform other clerical tasks such as word processing, data entry, filing, mail despatch and photocopying",Clerical and Administrative Workers > Inquiry Clerks and Receptionists > Receptionists,542,Receptionists,
Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.,"greeting and welcoming visitors, and directing them to the appropriate person; arranging and recording details of appointments; answering inquiries and providing information on the goods, services and activities of the organisation; answering, connecting and transferring telephone calls; receiving and resolving complaints from clients and the public; receiving and distributing correspondence, facsimile messages and deliveries; maintaining the reception area; advising on and arranging reservations and accommodation; may perform other clerical tasks such as word processing, data entry, filing, mail despatch and photocopying",Clerical and Administrative Workers > Inquiry Clerks and Receptionists > Receptionists,5421,Receptionists,No Shortage
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate III including at least two years of on-the-job training, or AQF Certificate IV or at least three years of relevant experience (ANZSCO Skill Level 3); orAQF Certificate II or III, or at least one year of relevant experience (ANZSCO Skill Level 4)In New Zealand:NZQF Level 4 qualification, or at least three years of relevant experience (ANZSCO Skill Level 3); orNZQF Level 2 or 3 qualification, or at least one year of relevant experience (ANZSCO Skill Level 4)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:processing accounts payable and receivable, and payment of wages and salarieskeeping financial records, and maintaining, reconciling and balancing accountsprocessing and authorising credit and loan applications, and processing insurance applications and claimsaccepting money deposited by customers and crediting customers' accountsmaintaining records of securities registrations and transactionscompiling financial and statistical data, tables, graphs and charts","processing accounts payable and receivable, and payment of wages and salaries; keeping financial records, and maintaining, reconciling and balancing accounts; processing and authorising credit and loan applications, and processing insurance applications and claims; accepting money deposited by customers and crediting customers' accounts; maintaining records of securities registrations and transactions; compiling financial and statistical data, tables, graphs and charts",Clerical and Administrative Workers > Numerical Clerks,55,Numerical Clerks,
,"preparing and processing documentation related to accounts payable and receivable, and wages and salaries; reconciling invoices and despatching payments; investigating, compiling and preparing reports of operating cost data; keeping financial records; maintaining, reconciling and balancing accounts; processing payments of accounts, and wages and salaries",Clerical and Administrative Workers > Numerical Clerks > Accounting Clerks and Bookkeepers,551,Accounting Clerks and Bookkeepers,
Skill Level: 4,"preparing and processing documentation related to accounts payable and receivable; reconciling invoices and despatching payments; calculating, analysing and investigating the costs of proposed expenditure, wages and standard costs; preparing bank reconciliations; allocating expenditure to specified budget accounts; summarising expenditure and receipts; preparing records of standard costs and values for items such as raw materials and packaging supplies; recording cost variations and contract price movements; compiling cost data for preparation of operating budgets, and profit and loss calculations; investigating the costs of proposed expenditures, quotations and estimates; preparing reports of total costs, inventory adjustments, selling prices and profits; may work in a call centre",Clerical and Administrative Workers > Numerical Clerks > Accounting Clerks and Bookkeepers > Accounting Clerks,5511,Accounting Clerks,No Shortage
Skill Level: 3,"keeping financial records, and maintaining and balancing accounts using manual and computerised systems; monitoring cash flow and lines of credit; preparing and producing financial statements, budget and expenditure reports and analyses using account books, ledgers and accounting software packages; preparing invoices, purchase orders and bank deposits; reconciling accounts against monthly bank statements; verifying recorded transactions and reporting irregularities to management; may be required to prepare forms reporting business tax entitlements and obligations such as the amount of goods and services tax paid and collected",Clerical and Administrative Workers > Numerical Clerks > Accounting Clerks and Bookkeepers > Bookkeepers,5512,Bookkeepers,No Shortage
Skill Level: 4,"creating files for new employees to record payroll data; maintaining and updating files for existing employees to record information such as employee contact details, leave taken, overtime, promotions, transfers, tax deductions, health insurance payments and superannuation; preparing payroll data from time sheets and other payroll and personnel records; processing payment of wages and salaries; issuing and recording adjustments to employees' pay; interpreting industrial awards; providing information to employees and managers about payroll matters such as tax issues, benefits and deductions; finalising files and arrangements when employees retire, resign or transfer; may be involved in maintaining superannuation and other deduction and contribution records",Clerical and Administrative Workers > Numerical Clerks > Accounting Clerks and Bookkeepers > Payroll Clerks,5513,Payroll Clerks,No Shortage
,"answering customer inquiries about bank accounts, credit standing and loans; receiving deposits of money from and paying withdrawals of money to customers, and crediting and debiting their accounts; processing and authorising the approval of credit and loan applications; offering and varying odds on sporting events, and accepting and paying out bets; processing insurance applications, adjustments to cover and claims against policies; maintaining records of securities registrations and transactions; compiling tables, graphs and charts",Clerical and Administrative Workers > Numerical Clerks > Financial and Insurance Clerks,552,Financial and Insurance Clerks,
Skill Level: 3,"greeting customers, identifying their needs and answering customer inquiries; ensuring customers' forms are filled in correctly and checking customers' identification; accepting cash and cheques deposited by customers, verifying records and receipts, and crediting customers' accounts; paying money to customers according to advice slips, cheques and negotiable documents, and debiting customers' accounts; providing change, cashing cheques and recording transactions; opening and closing accounts for customers; balancing cash and advising supervisors of cash position and discrepancies; explaining and promoting bank services to customers and referring them to appropriate financial services",Clerical and Administrative Workers > Numerical Clerks > Financial and Insurance Clerks > Bank Workers,5521,Bank Workers,No Shortage
Skill Level: 3,"analysing information about customers and examining references, credit ratings, investment risks, pay slips and other information against predetermined policy standards; contacting financial and credit institutions to obtain information about customers; preparing papers setting out conditions of credit and loans, rates of repayment and loan periods, and providing information about customers' standing to financial and credit institutions; authorising the approval of credit and loan applications and recommending credit and loan conditions and limits; keeping records of payments, and preparing routine letters requesting payment for overdue accounts and forwarding these for legal action; answering inquiries concerning credit standing of customers, loan balances and penalties; may recommend, approve and arrange mortgages; may work in a call centre",Clerical and Administrative Workers > Numerical Clerks > Financial and Insurance Clerks > Credit and Loans Officers (AUS) / Finance Clerks (NZ),5522,Credit and Loans Officers (AUS) / Finance Clerks (NZ),No Shortage
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Certificate II or III (ANZSCO Skill Level 4)In New Zealand:NZQF Level 2 or 3 qualification (ANZSCO Skill Level 4)At least one year of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Registration or licensing may be required.Tasks Include:obtaining information on the form of competitors by research, attending race trials and liaising with contactsoffering and varying odds on competitors after considering the type of event, handicaps, weather conditions and odds offered by other Bookmakersprocessing insurance applications, adjustments to insurance cover, standard endorsements and insurance claimsmonitoring balances of accounts and summarising reinsurance to determine outstanding risksurveying potential risk exposuredespatching notices of premiums due and forms concerning conservation and transfer of insurancereviewing, checking, verifying and issuing transaction documentation for securitiesclaiming accruing dividends and processing dividend paymentscompiling statistics from financial records, survey returns and other data sources, and verifying the authenticity of the materialoperating computers to input, manipulate and output informationcompiling results of calculations into tables, graphs and charts to be used in analysismay work in a call centreOccupations:552311 Bookmaker552312 Insurance Consultant552313 Money Market Clerk552314 Statistical Clerk552311 BookmakerDetermines risk, offers odds and accepts bets on the outcome of racing and other events. Registration or licensing is required.This occupation is illegal in New Zealand.Skill Level: 4552312 Insurance ConsultantAlternative Title:Insurance ClerkPrepares and checks documentation associated with insurance. May work in a call centre.Skill Level: 4Specialisations:Health Insurance AssessorSuperannuation Clerk552313 Money Market ClerkAlternative Titles:Scrip Clerk (Stockbroking)Securities ClerkProcesses documentation and maintains records of securities transactions and registrations.Skill Level: 4552314 Statistical ClerkCompiles data and undertakes statistical and actuarial computations.Skill Level: 4Specialisation:Actuarial Clerk","obtaining information on the form of competitors by research, attending race trials and liaising with contacts; offering and varying odds on competitors after considering the type of event, handicaps, weather conditions and odds offered by other Bookmakers; processing insurance applications, adjustments to insurance cover, standard endorsements and insurance claims; monitoring balances of accounts and summarising reinsurance to determine outstanding risk; surveying potential risk exposure; despatching notices of premiums due and forms concerning conservation and transfer of insurance; reviewing, checking, verifying and issuing transaction documentation for securities; claiming accruing dividends and processing dividend payments; compiling statistics from financial records, survey returns and other data sources, and verifying the authenticity of the material; operating computers to input, manipulate and output information; compiling results of calculations into tables, graphs and charts to be used in analysis; may work in a call centre","Clerical and Administrative Workers > Numerical Clerks > Financial and Insurance Clerks > Insurance, Money Market and Statistical Clerks",5523,"Insurance, Money Market and Statistical Clerks",No Shortage
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications outlined below.In Australia:AQF Certificate I, or compulsory secondary education (ANZSCO Skill Level 5)In New Zealand:NZQF Level 1 qualification, or compulsory secondary education (ANZSCO Skill Level 5)For some occupations a short period of on-the-job training may be required in addition to or instead of the formal qualification. In some instances no formal qualification or on-the-job training may be required.Tasks Include:recording and entering bets, debiting credit and bank accounts electronically, and receiving cashsorting documents, mail and parcels, and delivering items to customersrecording and updating information in record management systemsinterviewing people in surveys and market research to obtain information and their attitudesconnecting, holding and transferring telephone calls, and providing telephone service informationreceiving advertising copy and entering text and other detailsreading meters","recording and entering bets, debiting credit and bank accounts electronically, and receiving cash; sorting documents, mail and parcels, and delivering items to customers; recording and updating information in record management systems; interviewing people in surveys and market research to obtain information and their attitudes; connecting, holding and transferring telephone calls, and providing telephone service information; receiving advertising copy and entering text and other details; reading meters",Clerical and Administrative Workers > Clerical and Office Support Workers,56,Clerical and Office Support Workers,
